ligand,method,step,n_runs,mean_best_so_far,ci95,ci_lo,ci_hi
4jsz,bo,34,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,35,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,36,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,37,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,38,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,39,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,40,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,41,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,42,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,43,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,44,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,45,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,46,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,47,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,48,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,49,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,50,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,51,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,52,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,53,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,54,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,55,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,56,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,57,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,58,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,59,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,60,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,61,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,62,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,63,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,64,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,65,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,66,5,0.67200,0.26649,0.40551,0.93849
4jsz,bo,67,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,68,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,69,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,70,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,71,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,72,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,73,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,74,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,75,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,76,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,77,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,78,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,79,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,80,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,81,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,82,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,83,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,84,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,85,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,86,5,0.73320,0.16064,0.57256,0.89384
4jsz,bo,87,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,88,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,89,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,90,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,91,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,92,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,93,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,94,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,95,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,96,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,97,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,98,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,99,5,0.82060,0.10552,0.71508,0.92612
4jsz,bo,100,5,0.82060,0.10552,0.71508,0.92612
4jsz,random,1,5,0.00740,0.00826,-0.00086,0.01566
4jsz,random,2,5,0.00780,0.00832,-0.00052,0.01612
4jsz,random,3,5,0.01560,0.01364,0.00196,0.02924
4jsz,random,4,5,0.01800,0.01168,0.00632,0.02968
4jsz,random,5,5,0.02900,0.02079,0.00821,0.04979
4jsz,random,6,5,0.03380,0.01757,0.01623,0.05137
4jsz,random,7,5,0.05120,0.03667,0.01453,0.08787
4jsz,random,8,5,0.05120,0.03667,0.01453,0.08787
4jsz,random,9,5,0.05560,0.03298,0.02262,0.08858
4jsz,random,10,5,0.06560,0.03396,0.03164,0.09956
4jsz,random,11,5,0.06560,0.03396,0.03164,0.09956
4jsz,random,12,5,0.06560,0.03396,0.03164,0.09956
4jsz,random,13,5,0.07940,0.05698,0.02242,0.13638
4jsz,random,14,5,0.09320,0.05998,0.03322,0.15318
4jsz,random,15,5,0.09320,0.05998,0.03322,0.15318
4jsz,random,16,5,0.10920,0.07638,0.03282,0.18558
4jsz,random,17,5,0.10920,0.07638,0.03282,0.18558
4jsz,random,18,5,0.11060,0.07825,0.03235,0.18885
4jsz,random,19,5,0.13100,0.06550,0.06550,0.19650
4jsz,random,20,5,0.16640,0.09325,0.07315,0.25965
4jsz,random,21,5,0.16640,0.09325,0.07315,0.25965
4jsz,random,22,5,0.16640,0.09325,0.07315,0.25965
4jsz,random,23,5,0.17140,0.09652,0.07488,0.26792
4jsz,random,24,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,25,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,26,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,27,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,28,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,29,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,30,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,31,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,32,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,33,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,34,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,35,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,36,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,37,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,38,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,39,5,0.17840,0.09849,0.07991,0.27689
4jsz,random,40,5,0.21080,0.06890,0.14190,0.27970
4jsz,random,41,5,0.21080,0.06890,0.14190,0.27970
4jsz,random,42,5,0.22400,0.04825,0.17575,0.27225
4jsz,random,43,5,0.22400,0.04825,0.17575,0.27225
4jsz,random,44,5,0.27740,0.12466,0.15274,0.40206
4jsz,random,45,5,0.27740,0.12466,0.15274,0.40206
4jsz,random,46,5,0.27740,0.12466,0.15274,0.40206
4jsz,random,47,5,0.27780,0.12428,0.15352,0.40208
4jsz,random,48,5,0.27780,0.12428,0.15352,0.40208
4jsz,random,49,5,0.27780,0.12428,0.15352,0.40208
4jsz,random,50,5,0.27780,0.12428,0.15352,0.40208
4jsz,random,51,5,0.27780,0.12428,0.15352,0.40208
4jsz,random,52,5,0.29180,0.11832,0.17348,0.41012
4jsz,random,53,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,54,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,55,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,56,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,57,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,58,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,59,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,60,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,61,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,62,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,63,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,64,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,65,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,66,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,67,5,0.38320,0.08714,0.29606,0.47034
4jsz,random,68,5,0.40460,0.06735,0.33725,0.47195
4jsz,random,69,5,0.40460,0.06735,0.33725,0.47195
4jsz,random,70,5,0.41620,0.08642,0.32978,0.50262
4jsz,random,71,5,0.47440,0.12510,0.34930,0.59950
4jsz,random,72,5,0.47440,0.12510,0.34930,0.59950
4jsz,random,73,5,0.47440,0.12510,0.34930,0.59950
4jsz,random,74,5,0.47440,0.12510,0.34930,0.59950
4jsz,random,75,5,0.47440,0.12510,0.34930,0.59950
4jsz,random,76,5,0.47440,0.12510,0.34930,0.59950
4jsz,random,77,5,0.51540,0.09237,0.42303,0.60777
4jsz,random,78,5,0.51540,0.09237,0.42303,0.60777
4jsz,random,79,5,0.51540,0.09237,0.42303,0.60777
4jsz,random,80,5,0.51540,0.09237,0.42303,0.60777
4jsz,random,81,5,0.51540,0.09237,0.42303,0.60777
4jsz,random,82,5,0.51540,0.09237,0.42303,0.60777
4jsz,random,83,5,0.51540,0.09237,0.42303,0.60777
4jsz,random,84,5,0.51540,0.09237,0.42303,0.60777
4jsz,random,85,5,0.51540,0.09237,0.42303,0.60777
4jsz,random,86,5,0.51540,0.09237,0.42303,0.60777
4jsz,random,87,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,88,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,89,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,90,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,91,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,92,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,93,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,94,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,95,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,96,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,97,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,98,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,99,5,0.56820,0.13561,0.43259,0.70381
4jsz,random,100,5,0.56820,0.13561,0.43259,0.70381
