ligand,Kdist,Kmono,runs,mRMSD_mean,avg_RMSD_mean,valid_rate_mean,success_rate_mean,cpu_sec_mean,sample_elapsed_sec_mean,tts_99_sec_mean,ttt_99_sec_mean
3nq9,4.0,13.0,10,0.7479297007123636,4.719108300000005,1.0,0.053000000000000005,2.3872000000000004,2.3945,201.87719920675013,201.87719920675013
4jsz,8.0,4.0,10,0.43266667696150984,3.016850200000003,1.0,0.053000000000000005,2.5635,2.5798,216.78627687940016,216.78627687940016
4jsz,1.5,3.0,10,0.9919187261976694,2.8453705999999985,1.0,0.101,2.5446,2.5549000000000004,110.05981990083646,110.05981990083646
3nq9,8.5,8.0,10,0.34353928598692285,4.726064200000003,1.0,0.04599999999999999,2.4748000000000006,2.482,242.01499530656247,242.01499530656247
4jsz,6.0,14.0,10,0.5863981825381285,3.1884925999999996,1.0,0.04499999999999999,2.6183,2.6268000000000002,261.8741465308013,261.8741465308013
3nq9,8.5,18.0,10,0.7589985050977532,4.634084899999997,1.0,0.040999999999999995,2.4473,2.4556999999999998,269.20929798636564,269.20929798636564
3nq9,6.0,12.0,10,0.8226019338392094,4.7031497,1.0,0.04399999999999999,2.4381999999999997,2.4466,249.5329607684117,249.5329607684117
3nq9,5.0,9.0,10,0.8226019338392094,4.721094999999997,1.0,0.05500000000000001,2.4548,2.4787999999999997,199.83562900228375,199.83562900228375
4jsz,5.5,5.0,10,1.0864733275270633,3.1304457000000023,1.0,0.051000000000000004,2.6571,2.665,233.7577925809366,233.7577925809366
3nq9,2.0,10.0,10,0.7624192388077091,4.692829800000004,1.0,0.051000000000000004,2.3078999999999996,2.3125999999999998,203.03699879475505,203.03699879475505
4jsz,2.0,16.0,10,0.43266667696150984,2.8558917999999975,1.0,0.08499999999999999,2.4552,2.4711000000000003,127.28199209323536,127.28199209323536
4jsz,7.5,6.0,10,0.4534883623979208,3.2510203000000013,1.0,0.03500000000000001,2.6780000000000004,2.6979,346.1583704890216,346.1583704890216
4jsz,6.5,11.0,10,0.6737625626941022,3.2449680000000027,1.0,0.03599999999999999,2.6491,2.6548000000000003,332.7395139616548,332.7395139616548
4jsz,4.0,6.0,10,0.43266667696150984,3.0179009000000003,1.0,0.07199999999999998,2.6362,2.6623000000000006,162.46752546337268,162.46752546337268
3nq9,6.5,17.0,10,0.793104589240513,4.7355635,1.0,0.041999999999999996,2.4229999999999996,2.441,260.05540051648813,260.05540051648813
4jsz,6.0,5.0,10,0.9919187261976694,3.1162700999999973,1.0,0.054000000000000006,2.6344,2.6369999999999996,218.5420303423919,218.5420303423919
